amazon_order_id,asin1,asin2,asin3,asin4,asin5,asin6,asin7
701-0064261-9181018,B098PFR1P5,B07RP54K8T,,,,,
701-0070920-2657862,B01EK27LXC,B07KTHY938,,,,,
701-0168419-0069050,B071X7X7Z1,B07CJLFNF9,,,,,
701-0182255-4273061,B0BBPCTBQT,B0B1TKCWG9,,,,,
701-0199650-0437014,B08YYL8931,B0952VRX4M,B094N4NNN7,,,,
701-0214514-0551468,B07PF5DLHL,B0871NZWNC,,,,,
701-0219699-8098611,B07KN733RB,B07K34SPM1,,,,,
701-0223741-3265008,B0992TK7R1,B0992RR1DF,,,,,
701-0290053-1685845,B08CDGCVP8,B06XK7L18Q,,,,,
701-0350498-9919463,B00OPSXAJQ,B00LY30UVQ,,,,,
701-0408759-4963465,B00KQWXTH8,B00KQWXTGO,,,,,
701-0453851-9653036,B09Z5N2KW7,B09YGHTRLT,,,,,
701-0597612-1271461,B09W1MVQZG,B09W1M4RWT,,,,,
701-0616821-6054663,B07JQ81HJJ,B077PLJ69V,B077PSLWN4,,,,
701-0691821-7487430,B09XD5SQ33,B09B6TZ5J2,,,,,
701-0699648-5694637,B00OYJHAJM,B07PQX6TTQ,,,,,
701-0713427-4442601,B08QBMHZ6L,B078YHCFK7,,,,,
701-0734834-9811458,B08CK9FYLV,B07X3KMBNN,,,,,
701-0750687-1058645,B01NCDYOMY,B01N7BRCJ8,,,,,
701-0978731-4113827,B07BTF79K5,B07BTK8M8L,,,,,
701-1075731-4616262,B01D7LLXW2,B07H8CD55F,,,,,
701-1082919-7200225,B01H619N8A,B01H619KPQ,B01H61A2YY,,,,
701-1109268-8681024,B07NF8LZS9,B07GR5YRYY,B07GQZT1BN,,,,
701-1199597-9911430,B084RP9F73,B07WGJVQK8,,,,,
701-1410935-2178646,B017U0D1BC,B017U0CO9W,,,,,
701-1428296-6211458,B08D7MF87P,B08FZ7GFRQ,,,,,
701-1605862-7633809,B09JSF8V9M,B09JSF69DG,,,,,
701-1614068-5540207,B07G9786SM,B07G98RBFN,,,,,
701-1655230-5632227,B0822V5YJB,B00FN04ZAS,,,,,
701-1766295-1451426,B07XCZ5JR5,B07TFDQ6W7,,,,,
701-1797940-4401035,B085321TSQ,B07YKKGQHB,,,,,
701-1880650-8433012,B07JK2DNYK,B079C4W7RF,B077ZHT61J,,,,
701-2015721-2841039,B0785KF7HC,B0756WP9F3,,,,,
